Analysis Type:,PANTHER Overrepresentation Test (Released 20200407),,,,,,
Annotation Version and Release Date:,GO Ontology database  Released 2020-02-21,,,,,,
Analyzed List:,upload_1 (Homo sapiens),,,,,,
Reference List:,Homo sapiens (all genes in database),,,,,,
Test Type:,FISHER,,,,,,
Correction:,FDR,,,,,,
GO biological process complete,Homo sapiens - REFLIST (20851),upload_1 (763),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
ISG15-protein conjugation (GO:0032020),6,4,0.22,+,18.22,2.73E-04,4.34E-02
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904953),10,5,0.37,+,13.66,1.21E-04,2.12E-02
midbrain dopaminergic neuron differentiation (GO:1904948),12,5,0.44,+,11.39,2.35E-04,3.82E-02
peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine (GO:0018231),22,9,0.81,+,11.18,8.14E-07,3.09E-04
peptidyl-L-cysteine S-palmitoylation (GO:0018230),22,9,0.81,+,11.18,8.14E-07,3.01E-04
protein palmitoylation (GO:0018345),33,10,1.21,+,8.28,1.89E-06,6.13E-04
protein K63-linked ubiquitination (GO:0070534),43,11,1.57,+,6.99,2.36E-06,7.23E-04
protein K11-linked ubiquitination (GO:0070979),29,7,1.06,+,6.6,2.27E-04,3.72E-02
peptidyl-cysteine modification (GO:0018198),38,9,1.39,+,6.47,3.32E-05,7.14E-03
protein K48-linked deubiquitination (GO:0071108),34,8,1.24,+,6.43,9.46E-05,1.75E-02
protein K48-linked ubiquitination (GO:0070936),53,12,1.94,+,6.19,2.48E-06,7.45E-04
stem cell proliferation (GO:0072089),54,10,1.98,+,5.06,7.65E-05,1.48E-02
tumor necrosis factor-mediated signaling pathway (GO:0033209),123,21,4.5,+,4.67,3.64E-08,2.07E-05
protein lipidation (GO:0006497),86,13,3.15,+,4.13,4.50E-05,9.43E-03
canonical Wnt signaling pathway (GO:0060070),83,12,3.04,+,3.95,1.28E-04,2.22E-02
lipoprotein biosynthetic process (GO:0042158),91,13,3.33,+,3.9,7.58E-05,1.49E-02
macroautophagy (GO:0016236),176,23,6.44,+,3.57,6.29E-07,2.57E-04
regulation of fat cell differentiation (GO:0045598),129,16,4.72,+,3.39,5.54E-05,1.13E-02
cellular response to tumor necrosis factor (GO:0071356),244,29,8.93,+,3.25,1.42E-07,7.27E-05
response to tumor necrosis factor (GO:0034612),270,31,9.88,+,3.14,1.07E-07,5.67E-05
modification-dependent protein catabolic process (GO:0019941),534,55,19.54,+,2.81,5.56E-11,4.91E-08
ubiquitin-dependent protein catabolic process (GO:0006511),528,54,19.32,+,2.79,1.06E-10,8.45E-08
protein polyubiquitination (GO:0000209),305,31,11.16,+,2.78,1.19E-06,4.13E-04
autophagy (GO:0006914),286,29,10.47,+,2.77,2.74E-06,8.07E-04
process utilizing autophagic mechanism (GO:0061919),286,29,10.47,+,2.77,2.74E-06,7.92E-04
modification-dependent macromolecule catabolic process (GO:0043632),545,55,19.94,+,2.76,1.12E-10,8.48E-08
proteolysis involved in cellular protein catabolic process (GO:0051603),593,57,21.7,+,2.63,3.28E-10,2.27E-07
cellular protein catabolic process (GO:0044257),624,57,22.83,+,2.5,2.01E-09,1.28E-06
protein deubiquitination (GO:0016579),278,25,10.17,+,2.46,9.82E-05,1.80E-02
protein modification by small protein removal (GO:0070646),295,26,10.79,+,2.41,8.87E-05,1.66E-02
protein catabolic process (GO:0030163),686,59,25.1,+,2.35,7.02E-09,4.14E-06
"regulation of transcription, DNA-templated (GO:0006355)",3480,290,127.34,+,2.28,7.09E-43,1.13E-38
regulation of RNA biosynthetic process (GO:2001141),3551,292,129.94,+,2.25,2.25E-42,1.20E-38
regulation of nucleic acid-templated transcription (GO:1903506),3546,291,129.76,+,2.24,6.68E-42,2.66E-38
regulation of RNA metabolic process (GO:0051252),3812,306,139.49,+,2.19,8.40E-43,6.69E-39
regulation of cellular macromolecule biosynthetic process (GO:2000112),3937,303,144.07,+,2.1,8.43E-39,2.24E-35
regulation of nucleobase-containing compound metabolic process (GO:0019219),4067,310,148.82,+,2.08,3.25E-39,1.03E-35
regulation of macromolecule biosynthetic process (GO:0010556),4076,307,149.15,+,2.06,9.46E-38,2.15E-34
regulation of cellular biosynthetic process (GO:0031326),4222,308,154.5,+,1.99,3.36E-35,5.95E-32
regulation of gene expression (GO:0010468),4494,323,164.45,+,1.96,2.27E-36,4.51E-33
regulation of biosynthetic process (GO:0009889),4301,308,157.39,+,1.96,6.88E-34,1.10E-30
protein modification by small protein conjugation or removal (GO:0070647),988,70,36.15,+,1.94,5.06E-07,2.24E-04
cellular macromolecule catabolic process (GO:0044265),912,64,33.37,+,1.92,1.91E-06,5.97E-04
macromolecule catabolic process (GO:0009057),1054,67,38.57,+,1.74,2.74E-05,6.06E-03
"negative regulation of transcription, DNA-templated (GO:0045892)",1229,78,44.97,+,1.73,6.00E-06,1.49E-03
negative regulation of nucleic acid-templated transcription (GO:1903507),1282,81,46.91,+,1.73,4.42E-06,1.15E-03
negative regulation of RNA biosynthetic process (GO:1902679),1284,81,46.99,+,1.72,4.51E-06,1.16E-03
negative regulation of RNA metabolic process (GO:0051253),1378,86,50.43,+,1.71,3.18E-06,8.89E-04
organonitrogen compound catabolic process (GO:1901565),1064,66,38.93,+,1.7,6.18E-05,1.25E-02
regulation of nitrogen compound metabolic process (GO:0051171),5881,362,215.2,+,1.68,3.15E-28,4.55E-25
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),1425,87,52.14,+,1.67,6.38E-06,1.56E-03
regulation of primary metabolic process (GO:0080090),6064,367,221.9,+,1.65,2.44E-27,2.78E-24
regulation of macromolecule metabolic process (GO:0060255),6204,374,227.02,+,1.65,8.92E-28,1.18E-24
negative regulation of nucleobase-containing compound metabolic process (GO:0045934),1482,89,54.23,+,1.64,9.31E-06,2.15E-03
regulation of cellular metabolic process (GO:0031323),6272,376,229.51,+,1.64,1.93E-27,2.36E-24
negative regulation of macromolecule biosynthetic process (GO:0010558),1508,90,55.18,+,1.63,1.09E-05,2.48E-03
proteolysis (GO:0006508),1280,76,46.84,+,1.62,6.90E-05,1.37E-02
regulation of metabolic process (GO:0019222),6755,390,247.19,+,1.58,1.22E-25,1.29E-22
negative regulation of cellular biosynthetic process (GO:0031327),1567,90,57.34,+,1.57,4.00E-05,8.48E-03
negative regulation of biosynthetic process (GO:0009890),1596,90,58.4,+,1.54,8.21E-05,1.57E-02
regulation of cellular process (GO:0050794),11077,500,405.34,+,1.23,1.10E-11,1.09E-08
regulation of biological process (GO:0050789),11795,524,431.61,+,1.21,1.72E-11,1.61E-08
biological regulation (GO:0065007),12491,542,457.08,+,1.19,3.49E-10,2.31E-07
biological_process (GO:0008150),17794,698,651.14,+,1.07,5.68E-07,2.44E-04
cellular process (GO:0009987),14623,449,535.1,-,0.84,8.71E-11,7.29E-08
cellular response to stimulus (GO:0051716),6783,188,248.21,-,0.76,3.14E-06,8.92E-04
multicellular organismal process (GO:0032501),7015,192,256.7,-,0.75,6.52E-07,2.60E-04
response to stimulus (GO:0050896),8544,232,312.65,-,0.74,3.38E-09,2.07E-06
cell communication (GO:0007154),5595,146,204.74,-,0.71,1.22E-06,4.12E-04
signal transduction (GO:0007165),5134,133,187.87,-,0.71,3.33E-06,9.13E-04
signaling (GO:0023052),5491,140,200.93,-,0.7,4.31E-07,1.96E-04
phosphorus metabolic process (GO:0006793),2170,49,79.41,-,0.62,2.03E-04,3.44E-02
phosphate-containing compound metabolic process (GO:0006796),2143,47,78.42,-,0.6,1.12E-04,1.98E-02
organic substance biosynthetic process (GO:1901576),2886,63,105.61,-,0.6,3.55E-06,9.59E-04
Unclassified (UNCLASSIFIED),3057,65,111.86,-,0.58,5.68E-07,2.38E-04
