Analysis Type:,PANTHER Overrepresentation Test (Released 20200407),,,,,,
Annotation Version and Release Date:,GO Ontology database  Released 2020-02-21,,,,,,
Analyzed List:,upload_1 (Homo sapiens),,,,,,
Reference List:,Homo sapiens (all genes in database),,,,,,
Test Type:,FISHER,,,,,,
Correction:,FDR,,,,,,
GO cellular component complete,Homo sapiens - REFLIST (20851),upload_1 (763),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
tumor necrosis factor receptor superfamily complex (GO:0002947),4,4,0.15,+,27.33,9.63E-05,8.77E-03
mitochondrial outer membrane translocase complex (GO:0005742),10,6,0.37,+,16.4,1.12E-05,1.32E-03
outer mitochondrial membrane protein complex (GO:0098799),17,6,0.62,+,9.65,1.14E-04,9.18E-03
nucleus (GO:0005634),7504,441,274.59,+,1.61,3.74E-33,7.50E-30
intracellular membrane-bounded organelle (GO:0043231),10894,532,398.64,+,1.33,6.83E-22,6.85E-19
intracellular organelle (GO:0043229),12687,582,464.25,+,1.25,8.37E-19,5.60E-16
membrane-bounded organelle (GO:0043227),12598,572,461,+,1.24,1.09E-16,4.38E-14
intracellular (GO:0005622),14483,638,529.98,+,1.2,1.32E-18,6.60E-16
organelle (GO:0043226),13720,599,502.06,+,1.19,5.10E-14,1.46E-11
cellular anatomical entity (GO:0110165),18633,723,681.84,+,1.06,2.57E-07,3.97E-05
cellular_component (GO:0005575),18824,728,688.83,+,1.06,3.11E-07,4.45E-05
cytoplasm (GO:0005737),11488,370,420.38,-,0.88,3.71E-04,2.86E-02
protein-containing complex (GO:0032991),5505,142,201.44,-,0.7,8.52E-07,1.07E-04
membrane (GO:0016020),9856,252,360.66,-,0.7,5.97E-15,1.99E-12
intrinsic component of membrane (GO:0031224),5921,148,216.67,-,0.68,2.18E-08,3.98E-06
integral component of membrane (GO:0016021),5768,141,211.07,-,0.67,7.93E-09,1.59E-06
cell projection (GO:0042995),2296,55,84.02,-,0.65,5.82E-04,4.32E-02
plasma membrane (GO:0005886),5752,135,210.48,-,0.64,4.39E-10,9.78E-08
cell periphery (GO:0071944),5882,136,215.24,-,0.63,6.65E-11,1.67E-08
Unclassified (UNCLASSIFIED),2027,35,74.17,-,0.47,3.11E-07,4.15E-05
plasma membrane region (GO:0098590),1206,14,44.13,-,0.32,1.59E-07,2.66E-05
postsynapse (GO:0098794),648,6,23.71,-,0.25,3.39E-05,3.57E-03
synaptic membrane (GO:0097060),398,2,14.56,-,0.14,1.03E-04,8.60E-03
postsynaptic membrane (GO:0045211),291,1,10.65,-,0.09,6.07E-04,4.34E-02
postsynaptic density (GO:0014069),349,1,12.77,-,0.08,9.70E-05,8.45E-03
asymmetric synapse (GO:0032279),354,1,12.95,-,0.08,6.37E-05,6.09E-03
transcription factor complex (GO:0005667),367,1,13.43,-,0.07,4.41E-05,4.43E-03
postsynaptic specialization (GO:0099572),375,1,13.72,-,0.07,3.00E-05,3.34E-03
