"","x"
"1","TMSB4X"
"2","TNFAIP8"
"3","TNFRSF18"
"4","TNFRSF1B"
"5","TNFRSF25"
"6","TNFRSF4"
"7","TNFSF13B"
"8","TNK2"
"9","TOM1L1"
"10","TPD52"
"11","TRAF1"
"12","TRIM16L"
"13","TRIM47"
"14","TRIP10"
"15","TRO"
"16","TRPS1"
"17","TSC22D2"
"18","TSEN54"
"19","TSHZ3"
"20","TSLP"
"21","TSPAN3"
"22","TST"
"23","TTC39A"
"24","TTLL3"
"25","TTN"
"26","TVP23A"
"27","TVP23C"
"28","UBA6"
"29","UBASH3A"
"30","UBD"
"31","UBLCP1"
"32","UGCG"
"33","UNC50"
"34","UPF3B"
"35","UQCRFS1"
"36","USP13"
"37","USP27X"
"38","USP35"
"39","USP44"
"40","VANGL2"
"41","VASN"
"42","VCAM1"
"43","VEGFC"
"44","VEPH1"
"45","VKORC1L1"
"46","VMP1"
"47","VPS18"
"48","VSIG4"
"49","VWA2"
"50","WASF3"
"51","WDR81"
"52","WDR86"
"53","WFDC12"
"54","WIPF1"
"55","WNT3"
"56","XAF1"
"57","XCL1"
"58","XCL2"
"59","XRCC3"
"60","ZAP70"
"61","ZBP1"
"62","ZBTB17"
"63","ZBTB32"
"64","ZBTB42"
"65","ZCCHC18"
"66","ZDHHC16"
"67","ZDHHC4"
"68","ZFP36L1"
"69","ZHX3"
"70","ZMIZ2"
"71","ZMYND8"
"72","ZNF267"
"73","ZNF385B"
"74","ZNF57"
"75","ZNF622"
"76","ZNF683"
"77","ZNF697"
"78","ZNF750"
"79","ZNF80"
"80","ZNF821"
"81","ZNRF1"
"82","ZNRF3"
"83","ZYX"
"84","UTP15"
"85","TUBG2"
"86","UPB1"
"87","ZNF217"
"88","TRIM24"
"89","TRMT10C"
"90","UBE2E2"
"91","VSIG8"
"92","ZXDC"
"93","VAV2"
"94","ZDHHC12"
"95","ZNF141"
"96","TRAF5"
"97","ZBTB16"
"98","UBE2V1"
"99","VEGFD"
"100","TRAF6"
"101","TRAF2"
"102","ZNF506"
"103","ZBED3"
"104","USP20"
"105","ZNF83"
"106","TRPC6"
"107","WIF1"
"108","TRAM1"
"109","ZBTB10"
"110","TOX"
"111","VSNL1"
"112","TTC7B"
"113","ZNF529"
"114","ZDHHC14"
"115","ZDHHC18"
"116","ZFYVE27"
"117","WNT5A"
"118","TRIM38"
"119","XBP1"
"120","ZNF275"
"121","TMSB10"
"122","TUFM"
"123","VNN3"
"124","XPO4"
"125","WNT11"
"126","TPM4"
"127","TMPRSS6"
"128","ZBTB5"
"129","TSC22D3"
"130","ZNF552"
"131","WFDC1"
"132","ZNF227"
"133","WFDC5"
"134","TREX2"
"135","TRAT1"
"136","TTBK2"
"137","USP11"
"138","ZNF841"
"139","YPEL4"
"140","ZEB2"
"141","WNT10B"
"142","USPL1"
"143","ZNF319"
"144","ZBTB24"
"145","WNT7B"
"146","TRMO"
"147","TTLL4"
"148","UBE2R2"
"149","TRAFD1"
"150","VAMP1"
"151","TRIB3"
"152","TYRP1"
"153","TRIM71"
"154","UIMC1"
"155","UTP3"
"156","ZNF778"
"157","ZNF548"
"158","TOB1"
"159","UBE2W"
"160","UFL1"
"161","UBA7"
"162","TRPM4"
"163","UNC119"
"164","ZFAND2B"
"165","ZKSCAN2"
"166","ZNFX1"
"167","ZMYM5"
"168","ZBED9"
"169","TRUB1"
"170","ZNF394"
"171","TRAF3IP3"
"172","TRIM3"
"173","VMO1"
"174","TRMT5"
"175","ZNF571"
"176","TRPV2"
"177","TSC22D4"
"178","USP8"
"179","TRIM69"
"180","TRANK1"
"181","ZC3HC1"
"182","TTC39C"
"183","ULBP3"
"184","ZNF587B"
"185","USP54"
"186","TNFRSF14"
"187","VTA1"
"188","TXNRD2"
"189","TYMP"
"190","ZCCHC11"
"191","TP53I3"
"192","VAPA"
"193","TTC24"
"194","TXNRD3"
"195","XKRX"
"196","TRIP11"
"197","TRIAP1"
"198","ZNF814"
"199","TYK2"
"200","ZNF16"
"201","ZDHHC3"
"202","TRIM52"
"203","TNFRSF1A"
"204","TSNAX"
"205","TTR"
"206","WNT4"
"207","ZNF654"
"208","VAV1"
"209","TRAPPC2"
"210","ZDHHC24"
"211","YPEL3"
"212","ZAR1"
"213","UGT8"
"214","YRDC"
"215","TWIST2"
"216","VPS50"
"217","TTC1"
"218","ZC2HC1C"
"219","UTP14A"
"220","ZRSR2"
"221","ZCCHC12"
"222","ZNF738"
"223","TXNRD1"
"224","VGLL4"
"225","TSPAN9"
"226","WDFY1"
"227","WRN"
"228","VAC14"
"229","WDR72"
"230","ZNF853"
"231","TTC13"
"232","ZNF268"
"233","TTYH2"
"234","WASF2"
"235","ZNF836"
"236","ZNF33A"
"237","UNC5A"
"238","UNC13B"
"239","ZNF460"
"240","ZC3H12B"
"241","ZNF324"
"242","ZNF578"
"243","TTI2"
"244","ZNF143"
"245","VANGL1"
"246","TOMM70"
"247","WNT1"
"248","ZBTB46"
"249","UCKL1"
"250","TNFRSF21"
"251","ZNF69"
"252","TSTD1"
"253","TRPC4"
"254","TXNDC11"
"255","YAE1D1"
"256","WDR45B"
"257","TNFSF13"
"258","VAMP4"
"259","ZNF496"
"260","VSIG10"
"261","U2AF2"
"262","XRCC4"
"263","TPCN2"
"264","ZDHHC7"
"265","TOMM22"
"266","TPRG1"
"267","ZNHIT2"
"268","UBE2D3"
"269","TNFAIP6"
"270","VWA5B1"
"271","WNT10A"
"272","TUBB2B"
"273","VWDE"
"274","ZNF419"
"275","TTC30B"
"276","TOX3"
"277","XKR9"
"278","ZNF79"
"279","ZBTB34"
"280","WBP1"
"281","TTC14"
"282","UTS2"
"283","ZBED6CL"
"284","ZFAND1"
"285","WNK1"
"286","ZNF185"
"287","UNC80"
"288","TYW1"
"289","TRIM9"
"290","VPS9D1"
"291","ZSCAN18"
"292","YBX3"
"293","TNRC6B"
"294","ZNF561"
"295","ZNF844"
"296","TSPAN32"
"297","TSPYL1"
"298","ZNF586"
"299","YTHDF2"
"300","WNK3"
"301","ZNF467"
"302","TRIM74"
"303","ZDHHC13"
"304","ZNF678"
"305","UBE3B"
"306","TOMM20"
"307","ZNF682"
"308","UNC5D"
"309","TSSK4"
"310","UROS"
"311","ZKSCAN1"
"312","TTC27"
"313","ZNF502"
"314","ZNF619"
"315","USP15"
"316","TTC22"
"317","ZNF76"
"318","TUB"
"319","TRIM45"
"320","ZNF700"
"321","TSEN2"
"322","WDR53"
"323","TUBA1C"
"324","ZNF121"
"325","ZFAND6"
"326","TNN"
"327","WDR17"
"328","ZP2"
"329","ZNF250"
"330","TWF1"
"331","ZNF696"
"332","WWC3"
"333","ZBTB25"
"334","UQCRQ"
"335","UQCC2"
"336","TP53INP1"
"337","VAMP5"
"338","VPS28"
"339","ZNF276"
"340","TSHZ2"
"341","ZNF254"
"342","ZNF669"
"343","ULBP1"
"344","ZNF692"
"345","UMODL1"
"346","USP4"
"347","TNXB"
"348","VIT"
"349","TP53BP1"
