"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","protein binding","GO:0005515","0.00022261187383510004","3.652451674666479","12743","571","453","18126","AACS,ABCD3,ABHD17A,ACACA,ACADL,ACAP1,ACAT1,ACE,ACOT2,ACTR3C,ADAMTS7,ADGRB1,ADIPOR2,AEBP1,AFAP1L2,AFG3L2,AGAP2,AHCYL2,AKAP1,ALCAM,ALOX15B,ALPL,AMPD2,ANK3,ANKRD13D,ANKS6,AP1M2,APOA5,APOBEC3G,ARHGAP17,ARHGAP9,ARL8B,ARMC9,ARSI,ASL,ATAD2B,ATP1B1,ATP1B2,ATP2A3,ATP6V1H,AZGP1,AZIN2,B3GNT8,BCAR1,BCAT2,BCKDHA,BCORL1,BEX2,BFAR,BMP3,BRI3,BTN2A2,C11ORF54,C14ORF1,C16ORF89,C2,CA2,CACNB3,CAMSAP3,CARD11,CARD16,CARHSP1,CARMIL1,CASP1,CBS,CCDC141,CCDC28B,CCDC88B,CCL5,CD163,CD244,CD247,CDC42SE1,CDKL5,CENPT,CEP131,CHMP4C,CHP1,CHTF18,CIITA,CLASRP,CLCN5,CLIP2,CLK3,CMTM1,CMTM3,CNIH4,CNOT8,CNR1,COL26A1,COL6A5,CRMP1,CRTAC1,CRYM,CSRP1,CTNNAL1,CTSH,CYTIP,DACT3,DCAF15,DCXR,DDAH2,DDX39B,DEF6,DESI2,DHCR24,DLGAP4,DONSON,DRAP1,DUOX1,DUSP2,EBF4,EBP,EFEMP2,EGFL6,EGFL8,EGFR,EHBP1L1,EID3,EMID1,ENTPD3,EOMES,EPS8,ERGIC1,ERLEC1,ERP29,ESRP1,ETV5,EVL,EXOC3L4,EZH2,FAM118B,FAM131B,FASLG,FASN,FASTKD5,FBXO38,FBXO44,FCHO1,FCHO2,FCHSD1,FGFR2,FHDC1,FHL3,FHOD1,FLT3LG,FMN1,FMNL1,FNBP1,FOXA2,FREM2,FRMD6,FSCN1,FXYD6,FZD5,GBP3,GDI1,GDPD5,GLA,GLB1,GNAI2,GNS,GPC2,GPD1L,GPHN,GPR39,GRK2,GSTA4,GSTO2,GUCY2D,GZMB,GZMM,HAAO,HAUS7,HECTD1,HGF,HLA-F,HMG20B,HOPX,HPN,HPX,HSD17B4,HSH2D,HUNK,HYAL1,ICA1,IFT43,IL18BP,IL20RA,IL2RG,ILDR1,INPP5D,INPP5F,INSC,IRF3,IRF7,IRF9,IRS2,ISG15,ISYNA1,ITGAL,ITGB7,ITM2C,ITPRIPL1,IVD,JAG2,KANK1,KCNJ11,KCNK1,KCNS1,KCTD14,KLF13,KLF15,KLRK1,LACTB2,LAMA4,LCK,LDHB,LGALSL,LGI3,LIMA1,LIMD2,LMF2,LMO3,LRP2BP,LRP5L,LRRC31,LRRC4B,LRRK2,LSP1,LTB,LZTS2,MAD2L2,MAL,MALL,MAOA,MAP3K7CL,MAP7,MAST3,MAX,MBIP,MCCC1,MCCC2,MCOLN2,MDK,MEF2B,MET,MFAP4,MGST1,MLPH,MLXIPL,MMAB,MMP24,MOB3C,MOV10,MPST,MR1,MRC1,MRC2,MRPS23,MTMR12,MTUS1,MUC1,MYH10,MYO5C,NARF,NCOA4,NCR1,NCR3,NDUFB9,NKG7,NLGN3,NLRC5,NOD2,NOTCH3,NPC2,NR0B2,NRTN,NUDT12,NUDT16,NUMBL,OAZ2,OPTN,P3H2,PABPN1,PAK6,PAQR5,PARN,PARP4,PCED1B,PCLO,PCSK2,PDPK1,PDZD4,PDZD7,PEBP4,PFKFB2,PHLDB3,PHYHD1,PIK3CD,PIP5K1B,PKNOX2,PLA2G10,PLA2G1B,PLD2,PLS1,PLXNA3,PMM1,POLB,POLR2C,PON3,PPP1R35,PRRG2,PRTG,PSMB8,PSME1,PSME2,PSTPIP1,PTPN13,PTPN7,PTPRU,PXMP4,PYHIN1,RAB24,RAP1GAP,RARRES2,RASEF,RASGRF1,RASL12,RASSF1,REN,RHOBTB2,RHOT2,RILP,RNASE1,RNF128,RNF166,RNF26,ROBO3,ROR1,RORB,ROS1,RPH3AL,RPS6KA2,RRAGD,RSRP1,SACM1L,SAMD3,SCAMP2,SCD,SCNN1A,SDCCAG8,SDR16C5,SEC23B,SEPT6,SERPINF2,SFI1,SFTPA1,SFTPC,SFTPD,SH2D1A,SH2D2A,SH3GL1,SHC3,SHMT1,SLC22A3,SLC30A3,SLC6A1,SLC7A8,SLC8B1,SLCO4C1,SLIT3,SLPI,SMAGP,SMIM1,SNTB1,SNX25,SNX30,SORT1,SOWAHB,SOX4,SP140,SP140L,SPSB2,SPTSSA,SRRT,SRSF1,SRSF2,ST7,STAMBPL1,STARD3NL,STARD7,STK10,STK11,STMN3,STX1A,STX4,SYBU,SYNJ2,SYTL2,TACC2,TADA2B,TBC1D10B,TBC1D10C,TBC1D14,TBCEL,TBX19,TBX21,TCF3,TCF7,TCIRG1,TESC,TFEB,TGFB1,TMC8,TMEM192,TMEM41A,TMEM97,TMSB4X,TNFRSF18,TNK2,TPD52,TRAF1,TRAM1,TRPS1,TSEN54,TSHZ3,TTC39A,TYK2,UBA7,UBASH3A,UBE2E2,UQCRFS1,USP13,USP20,USP44,VASN,VEPH1,VMP1,VPS18,WIF1,WIPF1,WNT3,XRCC3,ZAP70,ZBP1,ZBTB17,ZBTB42,ZMIZ2,ZNF217,ZNF385B,ZNRF3,ZYX"
"GO:MF","catalytic activity","GO:0003824","0.0018535752853164242","2.731989769853739","5853","571","235","18126","AACS,ABCA2,ABCA3,ABCD3,ABHD17A,ACACA,ACADL,ACAT1,ACE,ACOT2,ACOXL,ACSM3,ACSS2,ADAMTS7,AEBP1,AFG3L2,AGAP2,AHCYL2,ALDH5A1,ALOX15B,ALPL,AMPD2,APOBEC3G,ARL8B,ARSE,ARSI,ASAH1,ASL,ATAD2B,ATAT1,ATP1B1,ATP2A3,ATP6V1H,AZGP1,AZIN2,B3GNT8,BCAT2,BCKDHA,BDH1,BFAR,BLVRB,C11ORF54,C2,CA14,CA2,CARD11,CASP1,CBS,CCL5,CDKL2,CDKL5,CERKL,CHTF18,CIITA,CLK3,CLP1,CNOT8,CPB2,CPM,CPT2,CRMP1,CRYM,CTSH,CYP4B1,DCLK2,DCXR,DDAH2,DDX28,DDX39B,DDX56,DERA,DESI2,DHCR24,DUOX1,DUSP2,EBP,ECHDC1,ECHDC3,EGFR,ENTPD3,EZH2,FASN,FASTKD5,FBXO44,FGFR2,FMO5,FUT3,GALNT10,GBP3,GDE1,GDPD5,GLA,GLB1,GNAI2,GNS,GPD1L,GPHN,GRK2,GSR,GSTA4,GSTO2,GUCY2D,GZMB,GZMH,GZMM,HAAO,HACD1,HECTD1,HELB,HGF,HPN,HSD17B4,HUNK,HYAL1,INPP5D,INPP5F,ISYNA1,IVD,LACTB2,LCK,LDHB,LGI3,LPCAT1,LRAT,LRRK2,LSS,MACROD2,MAN1C1,MAOA,MAST3,MCCC1,MCCC2,MET,MGST1,MMAB,MMP24,MOV10,MPST,MTHFD2L,MYH10,MYO5C,NAGS,NAPSA,NDUFB9,NFX1,NIM1K,NIT1,NUDT12,NUDT16,P3H2,PAK6,PARN,PARP4,PCSK2,PCYT2,PDPK1,PFKFB2,PGC,PHYHD1,PIK3CD,PIP5K1B,PLA2G10,PLA2G1B,PLA2G3,PLA2G4F,PLD2,PLPPR1,PMM1,POFUT2,POLB,POLR2C,POLR3H,PON3,PPM1M,PRODH,PRSS16,PSMB8,PTPN13,PTPN7,PTPRU,RAB20,RAB24,RAB40C,RAP1GAP,RASEF,RASL12,REN,RETSAT,RHOBTB2,RHOT2,RNASE1,RNF128,RNF166,RNF26,ROR1,ROS1,RPS6KA2,RRAGD,SACM1L,SAR1B,SC5D,SCD,SDR16C5,SELENOO,SEPT6,SHMT1,SIAE,SLC27A3,SMPDL3B,SPTSSA,ST3GAL5,ST8SIA1,STAMBPL1,STK10,STK11,SYNJ2,TM7SF2,TNK2,TRIM47,TSEN54,TST,TTLL3,TYK2,UBA7,UBE2E2,UQCRFS1,USP13,USP20,USP35,USP44,VKORC1L1,XRCC3,ZAP70,ZMIZ2,ZNRF3"
"GO:BP","cellular lipid metabolic process","GO:0044255","0.000020080230840678398","4.697231298884758","1070","561","69","17906","AACS,ABCA2,ABCD3,ACACA,ACADL,ACAT1,ACOT2,ACOXL,ACSM3,ACSS2,ADIPOR2,AGAP2,ALDH5A1,ALOX15B,APOA5,ASAH1,C14ORF1,CERKL,CNR1,CPT2,ECHDC1,ECHDC3,EGFR,FASN,FUT3,GDE1,GLA,GLB1,GPC2,GPD1L,HACD1,HSD17B4,INPP5D,INPP5F,IRS2,ISYNA1,IVD,LPCAT1,LRAT,LSS,MFSD2A,MLXIPL,MTMR12,NOD2,NPC2,PCYT2,PIK3CD,PIP5K1B,PLA2G10,PLA2G1B,PLA2G3,PLA2G4F,PLD2,PLPPR1,PON3,PTPN13,RARRES2,RETSAT,SACM1L,SCD,SDR16C5,SFTPB,SLC27A3,SMPDL3B,SPTSSA,ST3GAL5,ST8SIA1,STARD7,SYNJ2"
"GO:BP","organic acid catabolic process","GO:0016054","0.00042992915633243686","3.366603101510305","276","561","27","17906","ABCD3,ACADL,ACAT1,ACOXL,ALDH5A1,BCAT2,BCKDHA,CBS,CHP1,CNR1,CPT2,CRYM,DCXR,DDAH2,ECHDC1,HAAO,HSD17B4,HYAL1,IRS2,IVD,MCCC1,MCCC2,MPST,PON3,PRODH,SHMT1,TST"
"GO:BP","carboxylic acid catabolic process","GO:0046395","0.00042992915633243686","3.366603101510305","276","561","27","17906","ABCD3,ACADL,ACAT1,ACOXL,ALDH5A1,BCAT2,BCKDHA,CBS,CHP1,CNR1,CPT2,CRYM,DCXR,DDAH2,ECHDC1,HAAO,HSD17B4,HYAL1,IRS2,IVD,MCCC1,MCCC2,MPST,PON3,PRODH,SHMT1,TST"
"GO:BP","lipid metabolic process","GO:0006629","0.0014658789555259454","2.8339018899387645","1414","561","78","17906","AACS,ABCA2,ABCD3,ACACA,ACADL,ACAT1,ACOT2,ACOXL,ACSM3,ACSS2,ADIPOR2,AGAP2,ALDH5A1,ALOX15B,APOA5,ASAH1,C14ORF1,CERKL,CNR1,CPT2,DHCR24,EBP,ECHDC1,ECHDC3,EGFR,FASN,FUT3,GDE1,GDPD5,GLA,GLB1,GPC2,GPD1L,HACD1,HSD17B4,INPP5D,INPP5F,IRS2,ISYNA1,IVD,LIMA1,LPCAT1,LRAT,LSS,MFSD2A,MLXIPL,MTMR12,NOD2,NPC2,NR0B2,PCYT2,PIK3CD,PIP5K1B,PLA2G10,PLA2G1B,PLA2G3,PLA2G4F,PLD2,PLPPR1,PON3,PTPN13,RARRES2,RETSAT,SACM1L,SC5D,SCD,SDR16C5,SFTPB,SLC27A3,SMPDL3B,SPTSSA,ST3GAL5,ST8SIA1,STARD3NL,STARD7,SYNJ2,TFCP2L1,TM7SF2"
"GO:BP","small molecule catabolic process","GO:0044282","0.0016240305643754976","2.7894058015636167","447","561","35","17906","ABCD3,ACADL,ACAT1,ACOXL,ALDH5A1,APOBEC3G,BCAT2,BCKDHA,BDH1,CBS,CHP1,CNR1,CPT2,CRYM,DCXR,DDAH2,DERA,ECHDC1,ENTPD3,GLB1,HAAO,HSD17B4,HYAL1,IRS2,IVD,MCCC1,MCCC2,MPST,NUDT16,PFKFB2,PON3,PRODH,SHMT1,SYNJ2,TST"
"GO:BP","small molecule metabolic process","GO:0044281","0.002330398717544641","2.632569767379462","1987","561","100","17906","AACS,ABCA2,ABCD3,ACACA,ACADL,ACAT1,ACOT2,ACOXL,ACSM3,ACSS2,ADIPOR2,AHCYL2,ALDH5A1,ALOX15B,AMPD2,APOA5,APOBEC3G,ASAH1,ASL,AZIN2,BCAT2,BCKDHA,BDH1,C14ORF1,CARD11,CARMIL1,CBS,CD244,CHP1,CNR1,CPT2,CRYM,DCXR,DDAH2,DERA,DHCR24,EBP,ECHDC1,ECHDC3,ENTPD3,FASN,FOXA2,GDE1,GLB1,GNS,GSR,GSTO2,GUCY2D,HAAO,HACD1,HGF,HSD17B4,HYAL1,INPP5D,IRS2,ISYNA1,ITIH5,IVD,KCNJ11,LDHB,LIMA1,LRAT,LRRK2,LSS,MACROD2,MCCC1,MCCC2,MLXIPL,MMAB,MPST,MTHFD2L,NAGS,NPC2,NR0B2,NUDT12,NUDT16,OAZ2,PFKFB2,PLA2G10,PLA2G1B,PLA2G3,PLA2G4F,PMM1,POFUT2,PON3,PRODH,PSMB8,PSME1,PSME2,RETSAT,SC5D,SCD,SDR16C5,SHMT1,SLC27A3,SYNJ2,TM7SF2,TMSB4X,TST,VKORC1L1"
"GO:BP","chemical homeostasis","GO:0048878","0.006586109879903089","2.181371027976144","1224","561","68","17906","AACS,ABCA2,ACACA,ACOXL,ACSM3,ADIPOR2,AFG3L2,ANK3,APOA5,ATP1B1,ATP1B2,ATP2A3,ATP6V1H,CA2,CACNB3,CCL5,CHP1,CNR1,CPB2,CTSH,EGFR,FASLG,FOXA2,GNAI2,GPD1L,GPR174,GPR18,GPR35,HPX,HSH2D,IRS2,KCNJ11,KDF1,KLF15,LCK,LIMA1,LPAR6,LPCAT1,LRP5L,LRRK2,MALL,MCOLN2,MET,MLXIPL,NAPSA,NCOA4,NPC2,PDPK1,PLA2G10,PLA2G1B,RAB20,RPH3AL,SCNN1A,SFTPD,SLC30A3,SLC34A2,SLC7A8,SLC8B1,SLC9A2,SOX4,STK11,STX4,SYBU,TCIRG1,TGFB1,TLCD1,TMC8,TMEM97"
"GO:BP","lipid biosynthetic process","GO:0008610","0.006629804570362955","2.1784992732941544","711","561","46","17906","ABCA2,ABCD3,ACACA,ACADL,ACSM3,ACSS2,ADIPOR2,AGAP2,ALOX15B,APOA5,ASAH1,C14ORF1,CERKL,DHCR24,EBP,FASN,GPD1L,HACD1,HSD17B4,INPP5D,INPP5F,ISYNA1,LPCAT1,LSS,MFSD2A,MLXIPL,MTMR12,PCYT2,PIK3CD,PIP5K1B,PLA2G10,PLA2G1B,PLA2G4F,PLD2,PTPN13,SACM1L,SC5D,SCD,SPTSSA,ST3GAL5,ST8SIA1,STARD3NL,STARD7,SYNJ2,TFCP2L1,TM7SF2"
