Analysis Type:,PANTHER Overrepresentation Test (Released 20200407),,,,,,
Annotation Version and Release Date:,GO Ontology database  Released 2020-02-21,,,,,,
Analyzed List:,upload_1 (Homo sapiens),,,,,,
Reference List:,Homo sapiens (all genes in database),,,,,,
Test Type:,FISHER,,,,,,
Correction:,FDR,,,,,,
GO molecular function complete,Homo sapiens - REFLIST (20851),upload_1 (763),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
tumor necrosis factor-activated receptor activity (GO:0005031),9,6,0.33,+,18.22,7.23E-06,8.74E-04
death receptor activity (GO:0005035),11,7,0.4,+,17.39,1.50E-06,2.22E-04
protein-cysteine S-acyltransferase activity (GO:0019707),28,11,1.02,+,10.74,6.70E-08,1.66E-05
protein-cysteine S-palmitoyltransferase activity (GO:0019706),28,11,1.02,+,10.74,6.70E-08,1.58E-05
S-acyltransferase activity (GO:0016417),32,11,1.17,+,9.39,2.02E-07,4.15E-05
ubiquitin conjugating enzyme activity (GO:0061631),41,14,1.5,+,9.33,4.71E-09,1.48E-06
ubiquitin-like protein conjugating enzyme activity (GO:0061650),43,14,1.57,+,8.9,7.80E-09,2.30E-06
frizzled binding (GO:0005109),40,13,1.46,+,8.88,2.73E-08,7.14E-06
protein transmembrane transporter activity (GO:0008320),19,6,0.7,+,8.63,1.89E-04,2.03E-02
tumor necrosis factor receptor binding (GO:0005164),32,10,1.17,+,8.54,1.50E-06,2.28E-04
macromolecule transmembrane transporter activity (GO:0022884),21,6,0.77,+,7.81,2.98E-04,3.12E-02
palmitoyltransferase activity (GO:0016409),39,11,1.43,+,7.71,1.05E-06,1.90E-04
tumor necrosis factor receptor superfamily binding (GO:0032813),46,11,1.68,+,6.53,4.14E-06,5.57E-04
thiol-dependent ubiquitin-specific protease activity (GO:0004843),106,17,3.88,+,4.38,1.55E-06,2.22E-04
ubiquitin-like protein-specific protease activity (GO:0019783),127,20,4.65,+,4.3,2.46E-07,4.83E-05
thiol-dependent ubiquitinyl hydrolase activity (GO:0036459),116,18,4.24,+,4.24,1.18E-06,1.98E-04
ubiquitinyl hydrolase activity (GO:0101005),117,18,4.28,+,4.2,1.31E-06,2.06E-04
cysteine-type peptidase activity (GO:0008234),188,20,6.88,+,2.91,5.11E-05,5.74E-03
ubiquitin protein ligase binding (GO:0031625),295,30,10.79,+,2.78,1.75E-06,2.43E-04
DNA binding (GO:0003677),2523,256,92.32,+,2.77,2.20E-51,3.46E-48
ubiquitin-like protein ligase binding (GO:0044389),311,30,11.38,+,2.64,4.64E-06,5.92E-04
ubiquitin-like protein transferase activity (GO:0019787),419,38,15.33,+,2.48,1.10E-06,1.92E-04
DNA-binding transcription factor activity (GO:0003700),1337,121,48.92,+,2.47,6.44E-19,3.80E-16
ubiquitin-protein transferase activity (GO:0004842),394,35,14.42,+,2.43,4.39E-06,5.75E-04
zinc ion binding (GO:0008270),840,72,30.74,+,2.34,1.64E-10,5.53E-08
metal ion binding (GO:0046872),4255,359,155.7,+,2.31,3.13E-58,1.48E-54
cation binding (GO:0043169),4349,360,159.14,+,2.26,1.81E-56,4.27E-53
G protein-coupled receptor binding (GO:0001664),291,24,10.65,+,2.25,5.09E-04,4.90E-02
nucleic acid binding (GO:0003676),4107,327,150.29,+,2.18,5.29E-46,6.24E-43
transcription regulator activity (GO:0140110),1753,136,64.15,+,2.12,5.09E-16,2.40E-13
ion binding (GO:0043167),6355,422,232.55,+,1.81,5.72E-44,5.40E-41
transition metal ion binding (GO:0046914),1118,73,40.91,+,1.78,4.88E-06,6.05E-04
heterocyclic compound binding (GO:1901363),6060,385,221.75,+,1.74,6.60E-34,5.19E-31
organic cyclic compound binding (GO:0097159),6147,385,224.94,+,1.71,1.55E-32,1.05E-29
sequence-specific DNA binding (GO:0043565),1238,76,45.3,+,1.68,2.00E-05,2.36E-03
binding (GO:0005488),15295,662,559.69,+,1.18,1.29E-18,6.75E-16
molecular_function (GO:0003674),17653,717,645.98,+,1.11,7.41E-15,3.18E-12
hydrolase activity (GO:0016787),2555,57,93.5,-,0.61,3.41E-05,3.93E-03
Unclassified (UNCLASSIFIED),3198,46,117.02,-,0.39,7.41E-15,2.91E-12
signaling receptor activity (GO:0038023),1522,21,55.69,-,0.38,1.30E-07,2.79E-05
molecular transducer activity (GO:0060089),1531,21,56.02,-,0.37,9.57E-08,2.15E-05
transmembrane signaling receptor activity (GO:0004888),1305,14,47.75,-,0.29,1.26E-08,3.49E-06
phosphoric ester hydrolase activity (GO:0042578),369,2,13.5,-,0.15,3.03E-04,3.05E-02
active transmembrane transporter activity (GO:0022804),352,1,12.88,-,0.08,6.36E-05,6.98E-03
G protein-coupled receptor activity (GO:0004930),884,2,32.35,-,0.06,1.00E-11,3.64E-09
active ion transmembrane transporter activity (GO:0022853),247,0,9.04,-, < 0.01,3.27E-04,3.21E-02
secondary active transmembrane transporter activity (GO:0015291),239,0,8.75,-, < 0.01,3.00E-04,3.08E-02
olfactory receptor activity (GO:0004984),439,0,16.06,-, < 0.01,2.58E-07,4.86E-05
monovalent inorganic cation transmembrane transporter activity (GO:0015077),396,0,14.49,-, < 0.01,1.26E-06,2.05E-04
